Position,Appearances,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,mod name,age,nationality,value_eur,overall,Season
Midfielder,4,,,4.0,100%,,0.0,1.0,0.0,0.0,,9.0,12.0,14.0,4.0,1.0,3.0,,0.0,0,41,10.25,0.0,2.0,50%,0.0,1.0,0,0,1,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50%,0.0,,,,,,,,,Rolando Aarons,21,England,4400000,72,2017-18
Defender,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,Abdul Baba,22,Ghana,10500000,77,2017-18
Forward,31,,,10.0,,,11.0,1.0,11.0,8.0,,,,,,,,,,1,300,9.68,3.0,13.0,,,,0,0,15,9.0,5,0.0,4.0,0.0,0.0,0.16,0.0,0.0,42.0,15.0,36%,4.0,,,,,,,,,Tammy Abraham,19,England,7500000,73,2017-18
Midfielder,11,,,9.0,56%,,3.0,9.0,9.0,5.0,,40.0,36.0,29.0,12.0,7.0,5.0,,1.0,0,246,22.36,3.0,30.0,27%,3.0,23.0,2,1,8,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,3.0,30%,1.0,,,,,,,,,Charlie Adam,31,Scotland,4800000,74,2017-18
Midfielder,12,,,22.0,59%,,5.0,14.0,0.0,0.0,,58.0,47.0,68.0,6.0,11.0,19.0,,0.0,1,433,36.08,1.0,4.0,0%,3.0,19.0,3,0,9,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,18%,0.0,,,,,,,,,Adrien Silva,28,Portugal,0,83,2017-18
Midfielder,6,,,3.0,100%,,0.0,1.0,1.0,1.0,,15.0,4.0,5.0,1.0,0.0,0.0,,0.0,0,81,13.5,0.0,0.0,0%,0.0,4.0,1,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,,,,,,,,,Ibrahim Afellay,31,Netherlands,9000000,78,2017-18
Forward,17,,,4.0,,,4.0,0.0,6.0,5.0,,,,,,,,,,0,152,8.94,0.0,2.0,,,,0,0,9,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,38%,2.0,,,,,,,,,Benik Afobe,24,DR Congo,7500000,74,2017-18
Midfielder,0,,,0.0,0%,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,,,,,,,,,Soufyan Ahannach,21,Netherlands,1300000,68,2017-18
Defender,38,6.0,59.0,53.0,60%,2.0,2.0,48.0,229.0,136.0,1.0,178.0,186.0,141.0,10.0,105.0,92.0,0.0,0.0,3,"1,589",41.82,2.0,5.0,20%,0.0,86.0,5,0,27,2.0,2,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,Nathan Aké,22,Netherlands,9500000,75,2017-18
Forward,0,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,0,0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,,,,,,,,,Chuba Akpom,21,England,775000,64,2017-18
